Year	UB1	UB2
2000	4537	4487
2001	4567	4517
2002	4597	4547
2003	4627	4577
2004	4657	4607
2005	4687	4637
2006	4717	4667
2007	4747	4697
2008	4777	4727
2009	4807	4757
2010	4837	4787
2011	4867	4817
2012	4897	4847
2013	4919	4869
2014	4942	4892
2015	4964	4914
2016	4986	4936
2017	5009	4959
2018	5031	4981
2019	5054	5004
2020	5076	5026
2021	5101	5051
2022	5126	5076
2023	5151	5101
2024	5176	5126
2025	5201	5151
2026	5227	5177
2027	5252	5202
2028	5277	5227
2029	5302	5252
2030	5327	5277
2031	5341	5291
2032	5354	5304
2033	5368	5318
2034	5382	5332
2035	5395	5345
2036	5409	5359
2037	5423	5373
2038	5437	5387
2039	5450	5400
2040	5464	5414
2041	5474	5424
2042	5483	5433
2043	5493	5443
2044	5502	5452
2045	5512	5462
2046	5522	5472
2047	5531	5481
2048	5541	5491
2049	5550	5500
2050	5560	5510
2051	5561	5511
2052	5563	5513
2053	5564	5514
2054	5565	5515
2055	5566	5516
2056	5568	5518
2057	5569	5519
2058	5570	5520
2059	5572	5522
2060	5573	5523
