SC,SN,CC,CN,LAKE,YR,POP,USUR,USURL,USAL,UGW,UREC,URES,UIND,UTOT,UPOP,ASUR,ASURL,ASAL,AGW,AREC,ATOT,ISUR,ISURL,ISAL,IGW,IREC,ITOT,PSUR,PSURL,PSAL,PGW,PREC,PTOT,OPSF,OPSURL,OPSS,OPGW,OPTOT,SUR,SURL,SAL,GW,REC,ALL,PGEN,PSALO,PGENO,PTOTO,PGENR,SSUR,SSAL,SGW,STOT,RC,RN
04 , Arizona ,  ,  ,  , 2010 , 313 , 9 , 0 , 0 , 36 , 0 , 40 , 0 , 45 , 265 , 15 , 0 , 0 , 11 , 10 , 36 , 0 , 0 , 0 , 10 , 0 , 10 , 21 , 0 , 0 , 43 , 0 , 64 , 0 , 0 , 0 , 0 , 0 , 46 , 0 , 0 , 100 , 10 , 156 , 41077 , 0 , 0 , 0 , 41077 , 0 , 0 , 4 , 4 , 10 , Arizona North
04 , Arizona ,  ,  ,  , 2010 , 223 , 0 , 0 , 0 , 33 , 0 , 29 , 0 , 33 , 187 , 93 , 0 , 0 , 322 , 1 , 415 , 0 , 0 , 0 , 5 , 0 , 5 , 0 , 0 , 0 , 4 , 0 , 4 , 0 , 0 , 0 , 0 , 0 , 93 , 0 , 0 , 364 , 1 , 458 , 2145 , 0 , 0 , 0 , 2145 , 0 , 0 , 5 , 5 , 23 , Arizona Southeast
04 , Arizona ,  ,  ,  , 2010 , 265 , 0 , 0 , 0 , 33 , 0 , 29 , 0 , 33 , 232 , 19 , 0 , 0 , 13 , 1 , 34 , 0 , 0 , 0 , 40 , 0 , 40 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 19 , 0 , 0 , 86 , 1 , 106 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 4 , 4 , 24 , Arizona Central North
04 , Arizona ,  ,  ,  , 2010 , 416 , 23 , 0 , 0 , 60 , 0 , 79 , 0 , 83 , 393 , 1622 , 0 , 0 , 243 , 4 , 1868 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 3 , 0 , 4 , 0 , 0 , 0 , 0 , 0 , 1645 , 0 , 0 , 306 , 4 , 1956 , 1478 , 0 , 0 , 0 , 1478 , 0 , 0 , 3 , 3 , 9 , Arizona West
04 , Arizona ,  ,  ,  , 2010 , 5173 , 596 , 0 , 0 , 450 , 0 , 1036 , 0 , 1046 , 5098 , 1135 , 0 , 0 , 1133 , 114 , 2380 , 0 , 0 , 0 , 43 , 0 , 43 , 5 , 0 , 0 , 27 , 0 , 32 , 0 , 0 , 0 , 0 , 0 , 1735 , 0 , 0 , 1655 , 114 , 3502 , 41970 , 0 , 0 , 0 , 41970 , 0 , 0 , 10 , 10 , 8 , Arizona Central South
06 , California ,  ,  ,  , 2010 , 16105 , 1583 , 0 , 0 , 1261 , 129 , 2882 , 150 , 2971 , 14830 , 13558 , 0 , 0 , 8234 , 55 , 21850 , 4 , 0 , 0 , 343 , 50 , 400 , 5 , 0 , 1 , 64 , 0 , 69 , 0 , 0 , 2488 , 1 , 2489 , 15152 , 0 , 1 , 9901 , 237 , 25293 , 49079 , 2488 , 20374 , 2489 , 28705 , 7 , 0 , 75 , 89 , 4 , California North
06 , California ,  ,  ,  , 2010 , 4400 , 335 , 0 , 0 , 696 , 70 , 1095 , 23 , 1101 , 4292 , 1484 , 0 , 0 , 261 , 20 , 1765 , 7 , 0 , 0 , 67 , 7 , 81 , 26 , 0 , 0 , 17 , 0 , 44 , 0 , 0 , 0 , 0 , 0 , 1852 , 0 , 0 , 1042 , 97 , 2992 , 12774 , 0 , 0 , 0 , 12774 , 0 , 0 , 4 , 5 , 2 , California Southeast
06 , California ,  ,  ,  , 2010 , 16747 , 1586 , 0 , 0 , 1014 , 155 , 2676 , 85 , 2755 , 15658 , 230 , 0 , 0 , 278 , 32 , 540 , 0 , 0 , 0 , 247 , 26 , 273 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3997 , 0 , 3997 , 1817 , 0 , 0 , 1538 , 214 , 3569 , 23579 , 3997 , 19770 , 3997 , 3811 , 16 , 0 , 62 , 79 , 1 , California Southwest
08 , Colorado ,  ,  ,  , 2010 , 3983 , 577 , 0 , 0 , 94 , 0 , 658 , 0 , 671 , 3848 , 1155 , 0 , 0 , 47 , 0 , 1202 , 40 , 0 , 0 , 5 , 0 , 45 , 17 , 0 , 0 , 4 , 0 , 21 , 0 , 0 , 0 , 0 , 0 , 1788 , 0 , 0 , 151 , 0 , 1938 , 14392 , 0 , 4 , 0 , 14388 , 0 , 0 , 14 , 14 , 17 , Colorado Front Range
08 , Colorado ,  ,  ,  , 2010 , 487 , 66 , 0 , 0 , 42 , 0 , 94 , 0 , 109 , 392 , 2758 , 0 , 0 , 1115 , 0 , 3871 , 86 , 0 , 0 , 6 , 0 , 92 , 10 , 0 , 0 , 9 , 0 , 19 , 14 , 0 , 0 , 4 , 18 , 2920 , 0 , 0 , 1174 , 0 , 4092 , 9777 , 0 , 359 , 18 , 9418 , 0 , 0 , 12 , 12 , 19 , Colorado Not In Basin
