RC,RN,POPGRATE,INDGRATE,AGGRATE,AGNET
10,Arizona North,2.08847865,1.1308944,2.79,4423.139658
23,Arizona Southeast,2.08847865,1.1308944,2.79,50988.97105
24,Arizona Central North,2.08847865,1.1308944,2.79,4177.409677
9,Arizona West,2.08847865,1.1308944,2.79,229511.8022
8,Arizona Central South,2.08847865,1.1308944,2.79,292418.6774
4, California North,1.07676705,2.2789834,3.94,9844592.354
2, California Southeast,1.07676705,2.2789834,3.94,795226.7965
1, California Southwest,1.07676705,2.2789834,3.94,243298.8499
17, Colorado Front Range,2.07531855,2.1981943,1.46,25758.48533
19, Colorado Not In Basin,2.07531855,2.1981943,1.46,82954.32338
18, Colorado In Basin,2.07531855,2.1981943,1.46,102348.1913
7, Nevada Not In Basin,1.1936565,2.4666495,1.03,824363.5302
5, Nevada South,1.1936565,2.4666495,1.03,9691.687423
6, Nevada In Basin,1.1936565,2.4666495,1.03,90645.78237
20, New Mexico Central,1.67575185,2.1537149,3.63,165608.0007
25, New Mexico Gila,1.67575185,2.1537149,3.63,74354.61257
22, New Mexico Not In Basin,1.67575185,2.1537149,3.63,554955.7902
21, New Mexico In Basin,1.67575185,2.1537149,3.63,129782.5965
13, Utah Not In Basin,2.45540715,2.1915741,1.68,113648.6591
12, Utah In Basin,2.45540715,2.1915741,1.68,90221.08463
11, Utah Salt Lake,2.45540715,2.1915741,1.68,34251.25628
16, Wyoming Not In Basin,1.17352875,1.9674924,2.25,444326.703
15, Wyoming In Basin,1.17352875,1.9674924,2.25,55323.81359
14, Wyoming Southwest,1.17352875,1.9674924,2.25,6022.442888
