YR,COflows,COinflows
762,16355515,0
763,13185239,0
764,12138949,0
765,12685643,0
766,16660257,0
767,14375547,0
768,16546519,0
769,16484271,0
770,13488922,0
771,14011105,0
772,18114926,0
773,15886543,0
774,12322111,0
775,15028307,0
776,19109841,0
777,16876598,0
778,15418937,0
779,14503654,0
780,17182219,0
781,13421825,0
782,16320399,0
783,18145684,0
784,24311361,0
785,17915230,0
786,8763345,0
787,15618444,0
788,17226160,0
789,17103401,0
790,14332849,0
791,13372094,0
792,10659969,0
793,13523559,0
794,11755645,0
795,18336644,0
796,18024649,0
797,11009997,0
798,15936629,0
799,12208650,0
800,17259195,0
801,21156703,0
802,20099027,0
803,21101838,0
804,17055224,0
805,13353297,0
806,12959347,0
807,11327593,0
808,14091860,0
809,10406327,0
810,18500782,0
811,18471774,0
812,14237891,0
813,15618277,0
814,14161519,0
815,8279002,0
816,15709495,0
817,12954139,0
818,10920694,0
819,8307854,0
820,19628315,0
821,19860049,0
822,13059689,0
823,4858370,0
824,11685092,0
825,12037829,0
826,15763553,0
827,12799283,0
828,12232160,0
829,11532311,0
830,10424345,0
831,15142170,0
832,16931053,0
833,15022092,0
834,12336408,0
835,9842892,0
836,15108697,0
837,16851325,0
838,16257653,0
839,12193651,0
840,8886817,0
841,12806811,0
842,14201491,0
843,16738425,0
844,16901847,0
845,14188653,0
846,14097871,0
847,12497697,0
848,10492380,0
849,11760590,0
850,19028950,0
851,16344786,0
852,13484887,0
853,15370852,0
854,17130849,0
855,14636839,0
856,12471662,0
857,15173940,0
858,17963000,0
859,15214938,0
860,10727587,0
861,13229587,0
862,12762777,0
863,12188112,0
864,14672803,0
865,14264453,0
866,12753706,0
867,9350241,0
868,15138015,0
869,14804630,0
870,15031184,0
871,14321444,0
872,13726672,0
873,9956939,0
874,7487464,0
875,10257692,0
876,16813319,0
877,17794538,0
878,13413787,0
879,14150230,0
880,12475872,0
881,13921835,0
882,14007485,0
883,11451756,0
884,9265774,0
885,15343966,0
886,18819479,0
887,20638697,0
888,16983702,0
889,11278569,0
890,13516725,0
891,9481251,0
892,15321382,0
893,16147989,0
894,16947113,0
895,16981406,0
896,19949459,0
897,13983532,0
898,13187246,0
899,19610235,0
900,15192137,0
901,12674597,0
902,11714415,0
903,10930496,0
904,12982115,0
905,15945619,0
906,9959861,0
907,11489422,0
908,17576552,0
909,13318833,0
910,12085905,0
911,17923033,0
912,17787123,0
913,14849548,0
914,15064765,0
915,12891388,0
916,13316244,0
917,14935387,0
918,15659161,0
919,15247500,0
920,9500506,0
921,19106196,0
922,15906623,0
923,16086271,0
924,8208759,0
925,13794313,0
926,19991100,0
927,17804970,0
928,17003065,0
929,18796579,0
930,12157849,0
931,17956098,0
932,17050192,0
933,12155107,0
934,11146973,0
935,16797857,0
936,14433986,0
937,14056929,0
938,16633077,0
939,10040185,0
940,15915509,0
941,12734409,0
942,16152948,0
943,15638433,0
944,11294867,0
945,16339827,0
946,22508201,0
947,16805647,0
948,15425356,0
949,13016335,0
950,16090789,0
951,14405340,0
952,14062005,0
953,8623809,0
954,12268518,0
955,13972330,0
956,12159522,0
957,10128590,0
958,15733651,0
959,16292903,0
960,16610628,0
961,13182320,0
962,15880912,0
963,14910857,0
964,15386764,0
965,17738236,0
966,18828385,0
967,14812504,0
968,12060472,0
969,16567639,0
970,14118469,0
971,10791315,0
972,12156413,0
973,19434828,0
974,18255218,0
975,12277885,0
976,12139513,0
977,13312977,0
978,12048300,0
979,10203405,0
980,9319139,0
981,10766232,0
982,14327884,0
983,13264517,0
984,12546348,0
985,16923564,0
