YR,COflows,COinflows
1906,18723760,577988
1907,20892589,1035644
1908,11711022,938518
1909,22198132,901164
1910,14596645,1140004
1911,15650022,1203645
1912,18623405,729693
1913,14536380,723469
1914,21354813,884686
1915,13623272,837918
1916,20142885,1340450
1917,22942804,879071
1918,15865937,850632
1919,12651367,1241493
1920,22287631,1300021
1921,22526783,1466638
1922,18447196,1148206
1923,19024047,1959502
1924,13877797,1370627
1925,14430703,650980
1926,15213730,633969
1927,19539212,1022192
1928,16954335,272810
1929,21829584,291671
1930,14621040,621233
1931,8474133,632555
1932,17422186,1221141
1933,12183502,677187
1934,6178190,564892
1935,12630349,298072
1936,14648871,480448
1937,14306056,802790
1938,18148319,602881
1939,11164062,869231
1940,9931656,1012284
1941,20116677,2048018
1942,17225136,846529
1943,13731401,825246
1944,15369422,900663
1945,14140528,1003030
1946,11095455,735028
1947,16439485,700234
1948,15139293,296714
1949,16933581,625555
1950,13140416,318263
1951,12505894,348667
1952,20805422,870486
1953,11165419,431537
1954,8496102,520006
1955,9413908,802405
1956,11426874,388109
1957,21500963,908501
1958,15862511,899818
1959,9598169,546031
1960,11524160,813336
1961,10010259,756379
1962,17377609,410768
1963,8840900,574756
1964,10863586,378025
1965,19875027,1251149
1966,10679844,1031437
1967,11670830,831632
1968,13739932,837544
1969,15272159,1063709
1970,15344136,720335
1971,14985249,575263
1972,13116400,639485
1973,18157701,1354307
1974,12920870,735879
1975,16534733,703014
1976,11042784,622726
1977,5380613,428635
1978,15158180,1225870
1979,17441959,1321924
1980,17442890,1555477
1981,8926824,744843
1982,17329929,1043328
1983,23603475,1608500
1984,24361957,1393809
1985,21000108,1020895
1986,22915252,694636
1987,15288810,997713
1988,11160987,853780
1989,9452730,698630
1990,9339214,625049
1991,12307335,952946
1992,10926229,1289055
1993,18899404,1970594
1994,10555935,652286
1995,19974423,1462002
1996,14218003,564015
1997,21684438,771500
1998,16704753,1204506
1999,15872118,648547
2000,10533908,475151
2001,10723797,571530
2002,6020553,357809
2003,10536528,486337
2004,9926847,721645
2005,17121081,1638837
2006,13547936,501028
2007,11416442,526687
2008,16118508,711163
2009,14133144,418968
2010,12717563,973464
2011,20294226,803244
2012,7794667,676639
2013,9588083,816246
2014,14367271,537787
2015,13058897,630561
2016,14808372,677944
2017,14808372,677944
2018,6000000,677944
2019,12300198,677944
2020,12300198,677944
2021,12300198,677944
2022,12300198,677944
2023,12300198,677944
2024,12300198,677944
2025,12300198,677944
2026,12300198,677944
2027,12300198,677944
2028,12300198,677944
2029,12300198,677944
2030,12300198,677944
