RC,YEAR,RN,ICS
1,2000,California Southwest,0
1,2001,California Southwest,0
1,2002,California Southwest,0
1,2003,California Southwest,0
1,2004,California Southwest,0
1,2005,California Southwest,0
1,2006,California Southwest,0
1,2007,California Southwest,0
1,2008,California Southwest,153381
1,2009,California Southwest,67836
1,2010,California Southwest,100864
1,2011,California Southwest,0
1,2012,California Southwest,179677
1,2013,California Southwest,0
1,2014,California Southwest,18867
1,2015,California Southwest,0
1,2016,California Southwest,18733
1,2017,California Southwest,385132
1,2018,California Southwest,0
1,2019,California Southwest,0
2,2000,California Southeast,0
2,2001,California Southeast,0
2,2002,California Southeast,0
2,2003,California Southeast,0
2,2004,California Southeast,0
2,2005,California Southeast,0
2,2006,California Southeast,0
2,2007,California Southeast,0
2,2008,California Southeast,0
2,2009,California Southeast,0
2,2010,California Southeast,-5191
2,2011,California Southeast,0
2,2012,California Southeast,0
2,2013,California Southeast,0
2,2014,California Southeast,0
2,2015,California Southeast,0
2,2016,California Southeast,-1458
2,2017,California Southeast,-19811
2,2018,California Southeast,0
2,2019,California Southeast,0
5,2000,Nevada South,0
5,2001,Nevada South,0
5,2002,Nevada South,0
5,2003,Nevada South,0
5,2004,Nevada South,0
5,2005,Nevada South,0
5,2006,Nevada South,0
5,2007,Nevada South,0
5,2008,Nevada South,400000
5,2009,Nevada South,20410
5,2010,Nevada South,0
5,2011,Nevada South,0
5,2012,Nevada South,34620
5,2013,Nevada South,28247
5,2014,Nevada South,25147
5,2015,Nevada South,40147
5,2016,Nevada South,23119
5,2017,Nevada South,53286
5,2018,Nevada South,2580
5,2019,Nevada South,2580
8,2000,Arizona Central South,0
8,2001,Arizona Central South,0
8,2002,Arizona Central South,0
8,2003,Arizona Central South,0
8,2004,Arizona Central South,0
8,2005,Arizona Central South,0
8,2006,Arizona Central South,0
8,2007,Arizona Central South,0
8,2008,Arizona Central South,100000
8,2009,Arizona Central South,0
8,2010,Arizona Central South,0
8,2011,Arizona Central South,0
8,2012,Arizona Central South,0
8,2013,Arizona Central South,0
8,2014,Arizona Central South,0
8,2015,Arizona Central South,10080
8,2016,Arizona Central South,19817
8,2017,Arizona Central South,33830
8,2018,Arizona Central South,0
8,2019,Arizona Central South,0
