RC,year,URBACRES,AGACRES,INDACRES,RN
1,2010,2500855.744,44496.17886,84853.87454,California Southwest
1,2011,2455261.965,43332.04244,83187.03046,California Southwest
1,2012,2416112.077,42303.36069,81750.0441,California Southwest
1,2013,2383021.782,41402.17949,80529.11504,California Southwest
1,2014,2355606.784,40620.54472,79510.44283,California Southwest
1,2015,2333482.785,39950.50227,78680.22705,California Southwest
1,2016,2316265.489,39384.09799,78024.66728,California Southwest
1,2017,2303570.597,38913.37778,77529.96307,California Southwest
1,2018,2295013.812,38530.38751,77182.31399,California Southwest
1,2019,2290210.838,38227.17305,76967.91963,California Southwest
1,2020,2288777.377,37995.78029,76872.97954,California Southwest
1,2021,2290329.132,37828.2551,76883.69329,California Southwest
1,2022,2294481.806,37716.64336,76986.26046,California Southwest
1,2023,2300851.1,37652.99095,77166.88061,California Southwest
1,2024,2309052.719,37629.34374,77411.75331,California Southwest
1,2025,2318702.365,37637.74761,77707.07814,California Southwest
1,2026,2329415.74,37670.24844,78039.05466,California Southwest
1,2027,2340808.547,37718.8921,78393.88243,California Southwest
1,2028,2352496.49,37775.72448,78757.76104,California Southwest
1,2029,2364095.27,37832.79145,79116.89004,California Southwest
1,2030,2375220.591,37882.13889,79457.46902,California Southwest
1,2031,2385569.41,37917.45323,79768.62105,California Southwest
1,2032,2395163.701,37938.98313,80051.16333,California Southwest
1,2033,2404106.694,37948.61782,80308.83658,California Southwest
1,2034,2412501.617,37948.24652,80545.3815,California Southwest
1,2035,2420451.701,37939.75843,80764.53881,California Southwest
1,2036,2428060.174,37925.0428,80970.04923,California Southwest
1,2037,2435430.265,37905.98882,81165.65346,California Southwest
1,2038,2442665.204,37884.48573,81355.09222,California Southwest
1,2039,2449868.22,37862.42275,81542.10622,California Southwest
1,2040,2457142.542,37841.68908,81730.43618,California Southwest
1,2041,2464571.985,37823.79974,81923.09946,California Southwest
1,2042,2472162.707,37808.77283,82120.22007,California Southwest
1,2043,2479901.454,37796.25225,82321.19866,California Southwest
1,2044,2487774.969,37785.88188,82525.4359,California Southwest
1,2045,2495769.997,37777.30562,82732.33245,California Southwest
1,2046,2503873.283,37770.16735,82941.28895,California Southwest
1,2047,2512071.571,37764.11096,83151.70608,California Southwest
1,2048,2520351.606,37758.78036,83362.98448,California Southwest
1,2049,2528700.131,37753.81942,83574.52483,California Southwest
1,2050,2537103.892,37748.87204,83785.72777,California Southwest
1,2051,2545549.041,37743.64353,83996.04485,California Southwest
1,2052,2554019.362,37738.08483,84205.13116,California Southwest
1,2053,2562498.047,37732.20831,84412.69267,California Southwest
1,2054,2570968.289,37726.02635,84618.43534,California Southwest
1,2055,2579413.28,37719.55131,84822.06516,California Southwest
1,2056,2587816.212,37712.79556,85023.28808,California Southwest
1,2057,2596160.277,37705.77147,85221.81009,California Southwest
1,2058,2604428.667,37698.49141,85417.33714,California Southwest
1,2059,2612604.574,37690.96775,85609.57522,California Southwest
1,2060,2620671.192,37683.21285,85798.23029,California Southwest
1,2061,2628613,37675.25578,85983.029,California Southwest
1,2062,2636419.634,37667.19244,86163.78072,California Southwest
1,2063,2644082.018,37659.13541,86340.31549,California Southwest
1,2064,2651591.076,37651.19728,86512.46334,California Southwest
1,2065,2658937.732,37643.49065,86680.05432,California Southwest
1,2066,2666112.911,37636.1281,86842.91848,California Southwest
1,2067,2673107.536,37629.22221,87000.88585,California Southwest
1,2068,2679912.532,37622.8856,87153.78648,California Southwest
1,2069,2686518.822,37617.23083,87301.4504,California Southwest
1,2070,2692917.331,37612.3705,87443.70767,California Southwest
1,2071,2699100.618,37608.37546,87580.42736,California Southwest
1,2072,2705067.787,37605.14955,87711.63477,California Southwest
1,2073,2710819.576,37602.55489,87837.39421,California Southwest
1,2074,2716356.724,37600.45358,87957.77001,California Southwest
1,2075,2721679.97,37598.70773,88072.8265,California Southwest
1,2076,2726790.052,37597.17944,88182.628,California Southwest
