SC,SN,RC,RN,CC,CN,LAKE,YR,POP,ENTCOL,USURORG,USUR,UCOL,USURL,USAL,UGW,UREC,URES,UIND,UTOT,UPOP,ASURORG,ASUR,ACOL,ASURL,ASAL,AGW,AREC,ATOT,ISURORG,ISUR,ICOL,ISURL,ISAL,IGW,IREC,ITOT,PSURORG,PSUR,PCOL,PSURL,PSAL,PGW,PREC,PTOT,OPSF,OPSURL,OPSS,OPGW,OPTOT,ECOL,OCOL,COL,SUR,SURL,SAL,GW,REC,ALL,PGEN,PSALO,PGENO,PTOTO,PGENR,SSUR,SSAL,SGW,STOT
4, Arizona ,8, Arizona Central South,  ,  ,  ,2010,5173,1178529.3,596,332.9208578,263.0791422,0,0,450,0,1036,0,1046,5098,1135,345.7625734,789.2374266,0,0,1133,114,2382,0,0,0,0,0,43,0,43,5,5,0,0,0,27,0,32,0,0,0,0,0,0,0,1052.32,683.6834312,0,0,1655,114,3505,41970,0,0,0,41970,0,0,10,10
4, Arizona ,9, Arizona West,  ,  ,  ,2010,416,1581365,23,0,188.4834562,0,0,60,0,79,0,248.4834562,393,1622,1056.403644,565.5963557,0,0,243,4,1869,0,0,0.137522448,0,0,0,0,0.137522448,1,0.815272998,0.184727002,0,0,3,0,4,0,0,0,0,0,12.69889719,228.1988033,754.4,1057.218917,0,0,306,4,2121.620979,1478,0,0,0,1478,0,0,3,3
4, Arizona ,10, Arizona North,  ,  ,  ,2010,313,4348,9,0,22.65901624,0,0,36,0,40,0,58.65901624,265,15,0,28.9004044,0,0,11,10,50,0,0,0,0,0,10,0,10,21,6.801389543,14.19861046,0,0,43,0,64,0,0,0,0,0,0.209628813,0.000743365,65.76,6.801389543,0,0,100,10,182.5594206,41077,0,0,0,41077,0,0,4,4
4, Arizona ,23, Arizona Southeast,  ,  ,  ,2010,223,0,1,1,0,0,0,33,0,29,0,34,187,93,93,0,0,0,322,1,416,0,0,0,0,0,5,0,5,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,94,0,0,364,1,459,2145,0,0,0,2145,0,0,5,5
4, Arizona ,24, Arizona Central North,  ,  ,  ,2010,265,0,0,0,0,0,0,33,0,29,0,33,232,19,19,0,0,0,13,1,33,0,0,0,0,0,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,86,1,106,0,0,0,0,0,0,0,4,4
6, California ,1, California Southwest,  ,  ,  ,2010,16747,1212000,1586,1082.722106,503.2778942,0,0,1014,155,2676,85,2755,15658,230,230,0,0,0,278,32,540,0,0,0,0,0,247,26,273,0,0,0,0,0,0,0,0,0,0,3997,0,3997,0,0,503.28,1312.722106,0,0,1538,214,3568,23579,3997,19770,3997,3811,16,0,62,79
6, California ,2, California Southeast,  ,  ,  ,2010,4400,3209687,335,238.7255815,96.27441845,0,0,696,70,1095,23,1101,4292,1484,0,2390.275214,0,0,261,20,2671,7,6.641176872,0.358823128,0,0,67,7,81,26,24.66722838,1.332771619,0,0,17,0,43,0,0,0,0,0,1.649526012,94.93434765,2488.24,270.0339868,0,0,1042,97,3897.275214,12774,0,0,0,12774,0,0,4,5
6, California ,4, California North,  ,  ,  ,2010,16105,0,1583,1583,0,0,0,1261,129,2882,150,2973,14830,13558,13558,0,0,0,8234,55,21847,4,4,0,0,0,343,50,397,5,5,0,0,1,64,0,70,0,0,2488,1,2489,0,0,0,15150,0,1,9901,237,25289,49079,2488,20374,2489,28705,7,0,75,89
8, Colorado ,17, Colorado Front Range,  ,  ,  ,2010,3983,0,577,507.1594222,69.84057776,0,0,94,0,658,0,671,3848,1155,1015.197804,139.8021964,0,0,47,0,1202,40,35.15836549,4.841634506,0,0,5,0,45,17,14.94230533,2.057694665,0,0,4,0,21,0,0,0,0,0,0,216.5421033,216.54,1572.457897,0,0,151,0,1940,14392,0,4,0,14388,0,0,14,14
8, Colorado ,18, Colorado In Basin,  ,  ,  ,2010,558,3881250,78,41.94804664,36.05195336,0,0,33,0,96,0,111,478,4617,3729.644105,887.3558952,0,0,158,0,4775,3,0.398271224,2.601728776,0,0,14,0,17,20,7.734799484,12.26520052,0,0,0,0,20,0,0,0,0,0,0,0,938.27,3779.725222,0,0,206,0,4924,14112,0,360,0,13752,0,0,12,12
8, Colorado ,19, Colorado Not In Basin,  ,  ,  ,2010,487,0,66,65.91935003,0.080649966,0,0,42,0,94,0,108,392,2758,2754.629809,3.370190996,0,0,1115,0,3873,86,85.89491065,0.105089349,0,0,6,0,92,10,9.987780308,0.012219692,0,0,9,0,19,14,0,0,4,18,0,3.568150003,3.57,2930.43185,0,0,1174,0,4108,9777,0,359,18,9418,0,0,12,12
32, Nevada ,5, Nevada South,  ,  ,  ,2010,1951,381922,387,206.8270701,180.1729299,0,0,67,0,439,0,454,1878,4,3.973009007,0.026990993,0,0,10,2,16,7,6.273330532,0.726669468,0,0,3,0,10,3,2.979756755,0.020243245,0,0,5,0,8,0,0,0,0,0,0.006690281,2.705847086,180.95,220.0531664,0,0,85,2,488,3580,0,0,0,3580,0,0,15,15
32, Nevada ,6, Nevada In Basin,  ,  ,  ,2010,59,331,0,0,0,0,0,13,0,8,0,13,30,27,27,0,0,0,129,1,157,0,0,0,0,0,67,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,210,1,238,0,0,0,0,0,0,0,5,5
32, Nevada ,7, Nevada Not In Basin,  ,  ,  ,2010,691,0,61,61,0,0,0,80,0,132,0,141,634,928,928,0,0,0,519,0,1447,1,1,0,0,0,272,0,273,1,1,0,0,0,23,0,24,0,0,0,0,0,0,0,0,991,0,0,898,0,1889,6409,0,0,0,6409,0,0,10,10
35, New Mexico ,20, New Mexico Central,  ,  ,  ,2010,1085,0,44,37.68155954,6.318440464,0,0,105,0,138,0,149,953,421,360.5440128,60.45598716,0,0,69,0,490,4,3.425596321,0.574403679,0,0,10,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.3488313,67.35,401.6511687,0,0,186,0,655,77,0,0,0,77,0,0,11,11
35, New Mexico ,21, New Mexico In Basin,  ,  ,  ,2010,241,843750,18,8.038914575,9.961085425,0,0,11,0,24,0,29,164,381,222.886353,158.113647,0,0,2,0,383,1,0.330971874,0.669028126,0,0,3,0,4,42,7.433546847,34.56645315,0,0,3,0,45,0,0,0,0,0,0,0,203.31,238.6897863,0,0,20,0,462,25877,0,0,0,25877,0,0,6,6
35, New Mexico ,22, New Mexico Not In Basin,  ,  ,  ,2010,644,0,10,10,0,0,0,110,0,110,0,120,575,547,547,0,0,0,1094,0,1641,0,0,0,0,0,12,0,12,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,557,0,0,1218,0,1775,3047,0,0,0,3047,0,0,6,6
35, New Mexico ,25, New Mexico Gila,  ,  ,  ,2010,91,0,0,0,0,0,0,13,0,12,0,13,63,113,113,0,0,0,105,0,218,5,5,0,0,0,10,0,15,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,118,0,0,130,0,248,715,0,0,0,715,0,0,2,2
49, Utah ,11, Utah Salt Lake,  ,  ,  ,2010,1922,0,269,233.1332488,35.8667512,0,0,192,0,461,0,461,1910,424,367.4665334,56.53346658,0,0,52,5,481,0,0,0,0,33,45,0,78,0,0,0,0,0,6,1,7,0,0,0,0,0,0,92.40021778,92.4,600.5997822,0,34,297,5,1029,2693,0,183,0,2510,0,0,0,0
