STATE,SCODE,RC,RN,SFYG,ECOGPCD,ECOVALUE,SURRATIO,STRMFLOW,AGRATE,AGNET,WWSURF,WWADJ,WWWGHT,ENVIND
 Arizona ,4,10, Arizona North,79,0.52,1078,0.00138,82385637,1.47,600.395,186655.9,0,1.13,95.96262216
 Arizona ,4,23, Arizona Southeast,79,0.52,1078,0.00138,82385637,1.47,600.395,186655.9,0,1.13,95.96262216
 Arizona ,4,24, Arizona Central North,79,0.52,1078,0.00138,82385637,1.47,600.395,186655.9,0,1.13,95.96262216
 Arizona ,4,9, Arizona West,79,0.52,1078,0.00138,82385637,1.47,600.395,186655.9,0,1.13,95.96262216
 Arizona ,4,8, Arizona Central South,79,0.52,1078,0.00138,82385637,1.47,600.395,186655.9,0,1.13,95.96262216
 California ,6,4, California North,288,0.27,2509,0.02142,879593,2.26,600.395,122031.25,0,3.38,72.39158198
 California ,6,2, California Southeast,288,0.27,2509,0.02142,879593,2.26,600.395,122031.25,0,3.38,72.39158198
 California ,6,1, California Southwest,288,0.27,2509,0.02142,879593,2.26,600.395,122031.25,0,3.38,72.39158198
 Colorado ,8,17, Colorado Front Range,113,8.126,75,9.02137,527,1.73,600.395,18694.87,0,3.83,64.89654641
 Colorado ,8,19, Colorado Not In Basin,113,8.126,75,9.02137,527,1.73,600.395,18694.87,0,3.83,64.89654641
 Colorado ,8,18, Colorado In Basin,113,8.126,75,9.02137,527,1.73,600.395,18694.87,0,3.83,64.89654641
 Nevada ,32,7, Nevada Not In Basin,113,8.126,75,9.02137,527,1.78,600.395,186655.9,0,1.13,95.96262216
 Nevada ,32,5, Nevada South,113,8.126,75,9.02137,527,1.78,600.395,186655.9,0,1.13,95.96262216
 Nevada ,32,6, Nevada In Basin,113,8.126,75,9.02137,527,1.78,600.395,186655.9,0,1.13,95.96262216
 New Mexico ,35,20, New Mexico Central,79,8.126,75,9.02137,527,2.25,600.395,186655.9,0,1.13,95.96262216
 New Mexico ,35,25, New Mexico Gila,79,8.126,75,9.02137,527,2.25,600.395,186655.9,0,1.13,95.96262216
 New Mexico ,35,22, New Mexico Not In Basin,79,8.126,75,9.02137,527,2.25,600.395,186655.9,0,1.13,95.96262216
 New Mexico ,35,21, New Mexico In Basin,79,8.126,75,9.02137,527,2.25,600.395,186655.9,0,1.13,95.96262216
 Utah ,49,13, Utah Not In Basin,94,6.764,119,0.2174,12463,1.47,600.395,186655.9,0,1.13,95.96262216
 Utah ,49,12, Utah In Basin,94,6.764,119,0.2174,12463,1.47,600.395,186655.9,0,1.13,95.96262216
 Utah ,49,11, Utah Salt Lake,94,6.764,119,0.2174,12463,1.47,600.395,186655.9,0,1.13,95.96262216
 Wyoming ,56,16, Wyoming Not In Basin,113,8.126,75,9.02137,527,0.91,235.988,18694.87,0,3.83,64.89654641
 Wyoming ,56,15, Wyoming In Basin,113,8.126,75,9.02137,527,0.91,235.988,18694.87,0,3.83,64.89654641
 Wyoming ,56,14, Wyoming Southwest,113,8.126,75,9.02137,527,0.91,235.988,18694.87,0,3.83,64.89654641
